,state,vmt_arterial_rural,date,vmt_arterial_urban,vmt_all
257,Massachusetts,516.0,2003-03-01 00:00:00,2841.0,4307.0
258,New Hampshire,373.0,2003-03-01 00:00:00,353.0,1012.0
259,New Jersey,774.0,2003-03-01 00:00:00,3693.0,5810.0
260,New York,1444.0,2003-03-01 00:00:00,6091.0,10969.0
261,Pennsylvania,2353.0,2003-03-01 00:00:00,3650.0,8147.0
262,Rhode Island,56.0,2003-03-01 00:00:00,490.0,634.0
263,Vermont,240.0,2003-03-01 00:00:00,100.0,1447.0
264,Delaware,174.0,2003-03-01 00:00:00,283.0,679.0
265,District of Columbia,0.0,2003-03-01 00:00:00,226.0,297.0
266,Florida,3006.0,2003-03-01 00:00:00,7224.0,15903.0
267,Georgia,2473.0,2003-03-01 00:00:00,3723.0,9420.0
268,Maryland,953.0,2003-03-01 00:00:00,2635.0,4465.0
269,North Carolina,2125.0,2003-03-01 00:00:00,2677.0,7769.0
270,South Carolina,1753.0,2003-03-01 00:00:00,1216.0,4107.0
271,Virginia,1971.0,2003-03-01 00:00:00,2884.0,6448.0
272,West Virginia,765.0,2003-03-01 00:00:00,369.0,1668.0
273,Illinois,1729.0,2003-03-01 00:00:00,4781.0,8686.0
274,Indiana,1522.0,2003-03-01 00:00:00,2208.0,5903.0
275,Iowa,1024.0,2003-03-01 00:00:00,681.0,2378.0
276,Kansas,865.0,2003-03-01 00:00:00,867.0,2330.0
277,Michigan,1811.0,2003-03-01 00:00:00,4224.0,8074.0
278,Minnesota,1266.0,2003-03-01 00:00:00,1779.0,4257.0
279,Missouri,1630.0,2003-03-01 00:00:00,2156.0,5471.0
280,Nebraska,712.0,2003-03-01 00:00:00,464.0,1534.0
281,North Dakota,270.0,2003-03-01 00:00:00,99.0,535.0
282,Ohio,1877.0,2003-03-01 00:00:00,3910.0,8695.0
283,South Dakota,367.0,2003-03-01 00:00:00,120.0,640.0
284,Wisconsin,1675.0,2003-03-01 00:00:00,1593.0,4812.0
285,Alabama,1441.0,2003-03-01 00:00:00,1612.0,4923.0
286,Arkansas,995.0,2003-03-01 00:00:00,746.0,2523.0
287,Kentucky,1300.0,2003-03-01 00:00:00,1306.0,3962.0
288,Louisiana,1061.0,2003-03-01 00:00:00,1421.0,3537.0
289,Mississippi,1201.0,2003-03-01 00:00:00,669.0,3148.0
290,Oklahoma,1138.0,2003-03-01 00:00:00,1423.0,3803.0
291,Tennessee,1743.0,2003-03-01 00:00:00,2430.0,5805.0
292,Texas,4367.0,2003-03-01 00:00:00,10295.0,18973.0
293,Alaska,100.0,2003-03-01 00:00:00,144.0,381.0
294,Arizona,973.0,2003-03-01 00:00:00,2237.0,4375.0
295,California,3685.0,2003-03-01 00:00:00,17936.0,26196.0
296,Colorado,1057.0,2003-03-01 00:00:00,1859.0,3663.0
297,Hawaii,136.0,2003-03-01 00:00:00,322.0,688.0
298,Idaho,397.0,2003-03-01 00:00:00,319.0,1100.0
299,Montana,430.0,2003-03-01 00:00:00,136.0,824.0
300,Nevada,328.0,2003-03-01 00:00:00,802.0,1464.0
301,New Mexico,755.0,2003-03-01 00:00:00,535.0,1866.0
302,Oregon,930.0,2003-03-01 00:00:00,1026.0,2698.0
303,Utah,521.0,2003-03-01 00:00:00,899.0,1988.0
304,Washington,877.0,2003-03-01 00:00:00,2206.0,4045.0
305,Wyoming,312.0,2003-03-01 00:00:00,99.0,629.0
306,Connecticut,133.0,2004-02-01 00:00:00,1603.0,2196.0
307,Maine,437.0,2004-02-01 00:00:00,215.0,1044.0
308,Massachusetts,472.0,2004-02-01 00:00:00,2626.0,3973.0
309,New Hampshire,345.0,2004-02-01 00:00:00,313.0,918.0
310,New Jersey,655.0,2004-02-01 00:00:00,3082.0,4903.0
311,New York,1223.0,2004-02-01 00:00:00,5447.0,9666.0
